0.5	289.5	1.16E-03
1	287.8	1.10E-03
1.5	285.6	1.05E-03
2	283.1	9.96E-04
2.5	280.2	9.47E-04
3	277.1	9.01E-04
3.5	273.7	8.57E-04
4	270.2	8.15E-04
4.5	266.6	7.75E-04
5	263	7.37E-04
5.5	259.3	7.00E-04
6	255.7	6.65E-04
6.5	252.1	6.31E-04
7	248.5	5.98E-04
7.5	245.1	5.65E-04
8	241.8	5.34E-04
8.5	238.7	5.04E-04
9	235.7	4.75E-04
9.5	232.9	4.47E-04
10	230.4	4.20E-04
10.5	228	3.94E-04
11	225.8	3.69E-04
11.5	223.8	3.45E-04
12	222.1	3.23E-04
12.5	220.5	3.01E-04
13	219.2	2.80E-04
13.5	218	2.61E-04
14	217.1	2.42E-04
14.5	216.4	2.24E-04
15	215.8	2.08E-04
15.5	215.5	1.93E-04
16	215.4	1.78E-04
16.5	215.5	1.64E-04
17	215.7	1.52E-04
17.5	216	1.40E-04
18	216.4	1.29E-04
18.5	216.9	1.19E-04
19	217.5	1.10E-04
19.5	218.1	1.02E-04
20	218.8	9.36E-05
20.5	219.4	8.64E-05
21	220.1	7.97E-05
21.5	220.7	7.36E-05
22	221.3	6.80E-05
22.5	222	6.28E-05
23	222.7	5.80E-05
23.5	223.3	5.36E-05
24	224	4.95E-05
24.5	224.8	4.58E-05
25	225.5	4.23E-05
25.5	226.3	3.91E-05
26	227.1	3.62E-05
26.5	227.9	3.35E-05
27	228.8	3.10E-05
27.5	229.7	2.86E-05
28	230.7	2.65E-05
28.5	231.7	2.45E-05
29	232.8	2.27E-05
29.5	233.9	2.10E-05
30	235.1	1.94E-05
30.5	236.4	1.80E-05
31	237.7	1.67E-05
31.5	239.1	1.54E-05
32	240.7	1.43E-05
32.5	242.3	1.32E-05
33	243.9	1.23E-05
33.5	245.6	1.14E-05
34	247.2	1.05E-05
34.5	248.8	9.78E-06
35	250.4	9.09E-06
35.5	251.9	8.44E-06
36	253.4	7.85E-06
36.5	254.9	7.30E-06
37	256.3	6.80E-06
37.5	257.7	6.33E-06
38	259.1	5.90E-06
38.5	260.4	5.50E-06
39	261.7	5.13E-06
39.5	262.9	4.79E-06
40	264.1	4.47E-06
40.5	265.2	4.18E-06
41	266.2	3.91E-06
41.5	267.1	3.66E-06
42	268	3.42E-06
42.5	268.9	3.20E-06
43	269.6	3.00E-06
43.5	270.3	2.81E-06
44	270.9	2.64E-06
44.5	271.4	2.47E-06
45	271.8	2.32E-06
45.5	272.1	2.18E-06
46	272.3	2.05E-06
46.5	272.4	1.92E-06
47	272.5	1.81E-06
47.5	272.4	1.70E-06
48	272.3	1.60E-06
48.5	272.1	1.50E-06
49	271.7	1.42E-06
49.5	271.3	1.33E-06
50	270.8	1.26E-06
50.5	270.3	1.18E-06
51	269.6	1.11E-06
51.5	268.9	1.05E-06
52	268.1	9.88E-07
52.5	267.2	9.31E-07
53	266.2	8.77E-07
53.5	265.1	8.27E-07
54	264	7.79E-07
54.5	262.9	7.34E-07
55	261.6	6.92E-07
55.5	260.3	6.52E-07
56	258.9	6.15E-07
56.5	257.5	5.79E-07
57	256	5.46E-07
57.5	254.5	5.14E-07
58	252.9	4.84E-07
58.5	251.3	4.56E-07
59	249.7	4.29E-07
59.5	248	4.04E-07
60	246.3	3.80E-07
